question,answer
i missed the tv news last night. what was on?,nothing that would pass as news.
they forget who put them in power.,they forget where they came from.
"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
were you able to attend friday night's basketball game?,i was unable to make it.
i wish i could move here.,"maybe you can, if someone moves out."
what are they paying?,"up to $200 for each gun, no questions asked."
"no, i don't. do you?","i don't have a girlfriend, either."
yes?,see those stains?
people are funny.,they sure are.
"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
"like ""one, two, buckle my shoe.""",but people still write poems.
that wasn't very nice of her.,she said that nothing is more important to me than money.
and they will yell back at you.,yelling doesn't do any good.
did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
it has great schools.,it's close to the mountains.
"yes, about $7 million.",that will teach him a good lesson.
"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
i love to eat the peanuts.,i love to eat the hot dogs.
are you going to travel alone?,"no, my sister and i will travel together."
"exactly, it was my favorite class.","well, it's good that you're so talented."
that sounds like a dream job.,"it was, until one day my manager caught me."
"well, i guess that's it.","yes, that's all i need for now."
"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
talk to you then.,"all right, see you."
what school do you go to?,i go to pcc.
"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
of course. what else?,"we need cheese, bread, and ham."
do you think the bananas fell from the sky?,what do you mean?
why don't you go to bed?,i want to watch this tv show.
they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
i hate to fly.,because of all the security?
what did you say?,i said i have to go to the bathroom.
and watch your dvd.,i always cry at the end.
you don't like pretty women?,of course i do. but not on our flag!
why did you do that?,pasta is processed food. potatoes are natural food.
so did i.,i didn't even have lunch.
i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
what did you say?,i told her i wouldn't trade her for any other woman in the world.
i was a painter.,what happened?
i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.
a tree fell onto my dad's car.,was there much damage?
do you want to do something tomorrow?,is there somewhere special you wanted to go?
my friend got a ticket for doing 75.,your friend was unlucky.
how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
"no, but i did put on a few pounds.",that sounds like a dream job.
they sure do.,they like guys with new cars.
they say he's going 80 miles per hour.,he's going to kill someone.
mostly talk radio.,what's that?
"okay, what do you want to sell?",cigarette lighters. i'll make a fortune.
we'll go to a french restaurant.,i've never been to a french restaurant.
what have you been doing?,i've just been working really hard.
describe her to me.,she's not too tall.
i like this restaurant because they give you free bread.,"well, i think we are paying for it."
i did.,what happened?
i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
his nails were black!,that's disgusting.
anything else?,i need a notebook.
i guess you see lots of different dogs.,we don't even know what kind most of them are.
yes. that's why it's also the best hamburger in town.,a great burger and great service.
do you have any other skills?,"well, i know how to flip hamburgers."
and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that."
i'll get our fishing rods.,i'll get the bait.
i loved you the first day i saw you.,it was love at first sight?
you must be kidding.,"no, i'm not. it's march. time is running out. seats are selling out right now."
what do we need to buy?,let me look at our list.
we haven't been in a month.,"the last time we went, you almost drowned."
i didn't know you knew how to draw and paint.,i do it every once in a while.
